SerialNumber,Product_Code,OpcoID,State
174009,TC101674,FXAU,VIC
138693,TC101672,FXAU,VIC
138147,TC101672,FXAU,VIC
171710,TC101674,FXAU,VIC
420183,TC101674,FXAU,VIC
304052,TC101678,FXAU,VIC
565959,TC101546,FXAU,VIC
565740,TC101547,FXAU,VIC
175195,TC101675,FXAU,VIC
131168,TC101672,FXAU,VIC
232478,TC101687,FXAU,VIC
200094,TC101677,FXAU,VIC
176484,TC101674,FXAU,VIC
200417,TC101676,FXAU,VIC
170702,TC101674,FXAU,VIC
139642,TC101673,FXAU,VIC
751380,TC101544,FXAU,VIC
400933,TC101672,FXAU,VIC
301540,TC101678,FXAU,VIC
652060,TC101548,FXAU,VIC
176241,TC101674,FXAU,VIC
652434,TC101548,FXAU,VIC
138719,TC101888,FXAU,VIC
215189,TC101676,FXAU,VIC
129464,TC101888,FXAU,VIC
171719,TC101674,FXAU,VIC
139424,TC101888,FXAU,VIC
250032,TC101687,FXAU,VIC
121925,TC101672,FXAU,VIC
232376,TC101686,FXAU,VIC
250395,TC101687,FXAU,VIC
301028,TC101679,FXAU,VIC
400046,TC101672,FXAU,VIC
123403,TC101673,FXAU,VIC
232972,TC101687,FXAU,VIC
624001,TC101570,FXAU,VIC
172073,TC101674,FXAU,VIC
140736,TC101673,FXAU,VIC
425320,TC101687,FXAU,VIC
751725,TC101545,FXAU,VIC
402024,TC101672,FXAU,VIC
172864,TC101674,FXAU,VIC
133324,TC101888,FXAU,VIC
304302,TC101678,FXAU,VIC
127909,TC101888,FXAU,VIC
251170,TC101330,FXAU,VIC
420524,TC101674,FXAU,VIC
176225,TC101674,FXAU,VIC
137262,TC101888,FXAU,VIC
401941,TC101673,FXAU,VIC
230650,TC101687,FXAU,VIC
270486,TC101688,FXAU,VIC
402399,TC101672,FXAU,VIC
271374,TC101689,FXAU,VIC
130756,TC101672,FXAU,VIC
200352,TC101677,FXAU,VIC
140800,TC101673,FXAU,VIC
565339,TC101546,FXAU,VIC
565429,TC101546,FXAU,VIC
624900,TC101571,FXAU,VIC
109872,TC101673,FXAU,VIC
402761,TC101672,FXAU,VIC
620070,TC101570,FXAU,VIC
135626,TC101673,FXAU,VIC
231707,TC101686,FXAU,VIC
202099,TC101676,FXAU,VIC
425323,TC101686,FXAU,VIC
171848,TC101674,FXAU,VIC
623546,TC101571,FXAU,VIC
175331,TC101675,FXAU,VIC
129919,TC101672,FXAU,VIC
128269,TC101672,FXAU,VIC
234885,TC101687,FXAU,VIC
400045,TC101672,FXAU,VIC
270685,TC101688,FXAU,VIC
425047,TC101687,FXAU,VIC
511536,TC101165,FXAU,VIC
402158,TC101682,FXAU,VIC
107082,TC101673,FXAU,VIC
305066,TC101679,FXAU,VIC
425389,TC101686,FXAU,VIC
129468,TC101673,FXAU,VIC
401434,TC101672,FXAU,VIC
508435,TC101545,FXAU,VIC
139293,TC101673,FXAU,VIC
173354,TC101674,FXAU,VIC
300172,TC101678,FXAU,VIC
401662,TC101682,FXAU,VIC
361796,TC101310,FXAU,VIC
300963,TC101678,FXAU,VIC
235907,TC101687,FXAU,VIC
115612,TC101888,FXAU,VIC
175021,TC101674,FXAU,VIC
130744,TC101672,FXAU,VIC
106933,TC101673,FXAU,VIC
650696,TC101548,FXAU,VIC
420608,TC101674,FXAU,VIC
401628,TC101673,FXAU,VIC
170018,TC101674,FXAU,VIC
135328,TC101673,FXAU,VIC
270651,TC101689,FXAU,VIC
137026,TC101888,FXAU,VIC
171287,TC101675,FXAU,VIC
233822,TC101687,FXAU,VIC
131394,TC101672,FXAU,VIC
623225,TC101571,FXAU,VIC
420802,TC101674,FXAU,VIC
420849,TC101674,FXAU,VIC
231686,TC101687,FXAU,VIC
621841,TC101180,FXAU,VIC
201697,TC101676,FXAU,VIC
566074,TC101546,FXAU,VIC
232433,TC101687,FXAU,VIC
138613,TC101672,FXAU,VIC
174238,TC101674,FXAU,VIC
302126,TC101679,FXAU,VIC
505312,TC101544,FXAU,VIC
130749,TC101672,FXAU,VIC
234719,TC101687,FXAU,VIC
250058,TC101687,FXAU,VIC
430253,TC101678,FXAU,VIC
430320,TC101679,FXAU,VIC
172288,TC101675,FXAU,VIC
400318,TC101673,FXAU,VIC
128266,TC101672,FXAU,VIC
201093,TC101677,FXAU,VIC
508210,TC101545,FXAU,VIC
402496,TC101682,FXAU,VIC
627278,TC101181,FXAU,VIC
401820,TC101672,FXAU,VIC
420846,TC101675,FXAU,VIC
521416,TC101545,FXAU,VIC
220809,TC101326,FXAU,VIC
140758,TC101888,FXAU,VIC
401780,TC101672,FXAU,VIC
516522,TC101545,FXAU,VIC
402085,TC101672,FXAU,VIC
236346,TC101687,FXAU,VIC
231396,TC101687,FXAU,VIC
