SerialNumber,Product_Code,OpcoID,State
521063,TC101165,FXAU,VIC
621365,TC101181,FXAU,VIC
509504,TC101167,FXAU,VIC
565811,TC101168,FXAU,VIC
525429,TC101160,FXAU,VIC
526056,TC101160,FXAU,VIC
568333,TC101163,FXAU,VIC
651164,TC101183,FXAU,VIC
508515,TC101161,FXAU,VIC
566240,TC101169,FXAU,VIC
566169,TC101169,FXAU,VIC
517492,TC101160,FXAU,VIC
652415,TC101183,FXAU,VIC
501286,TC101165,FXAU,VIC
507952,TC101161,FXAU,VIC
526647,TC101162,FXAU,VIC
568330,TC101163,FXAU,VIC
751261,TC101167,FXAU,VIC
523972,TC101162,FXAU,VIC
516648,TC101165,FXAU,VIC
515406,TC101160,FXAU,VIC
628509,TC101181,FXAU,VIC
505059,TC101162,FXAU,VIC
521216,TC101161,FXAU,VIC
502136,TC101165,FXAU,VIC
563213,TC101169,FXAU,VIC
750156,TC101165,FXAU,VIC
502044,TC101166,FXAU,VIC
517537,TC101160,FXAU,VIC
505240,TC101160,FXAU,VIC
524806,TC101165,FXAU,VIC
521329,TC101160,FXAU,VIC
566104,TC101168,FXAU,VIC
562503,TC101163,FXAU,VIC
760060,TC101168,FXAU,VIC
509316,TC101167,FXAU,VIC
520086,TC101167,FXAU,VIC
513751,TC101167,FXAU,VIC
630224,TC101181,FXAU,VIC
513398,TC101167,FXAU,VIC
523335,TC101160,FXAU,VIC
750749,TC101162,FXAU,VIC
525059,TC101166,FXAU,VIC
525084,TC101165,FXAU,VIC
652835,TC101183,FXAU,VIC
790139,TC101180,FXAU,VIC
523071,TC101165,FXAU,VIC
626133,TC101174,FXAU,VIC
519959,TC101165,FXAU,VIC
502090,TC101161,FXAU,VIC
521480,TC101165,FXAU,VIC
509171,TC101162,FXAU,VIC
511546,TC101160,FXAU,VIC
521493,TC101160,FXAU,VIC
524444,TC101162,FXAU,VIC
652678,TC101182,FXAU,VIC
624974,TC101181,FXAU,VIC
523107,TC101165,FXAU,VIC
